Step,Value
0,0.0733441635966301
100,6.2525315284729
200,11.377263069152832
300,16.97854232788086
400,21.88689422607422
500,26.28074836730957
600,30.58712387084961
700,34.30620193481445
800,37.60951232910156
900,40.942359924316406
1000,44.22895812988281
1100,47.046199798583984
1200,49.18205642700195
1300,51.15027618408203
1400,52.629905700683594
1500,54.09602355957031
1600,54.683990478515625
1700,54.909141540527344
1800,56.10722351074219
1900,56.09046936035156
2000,58.32864761352539
2100,58.54631042480469
2200,57.58679962158203
2300,57.421913146972656
2400,57.86441421508789
2500,57.046722412109375
2600,55.650718688964844
2700,55.76100158691406
2800,55.13264083862305
2900,53.47260284423828
3000,53.89887619018555
3100,53.479774475097656
3200,51.19396209716797
3300,51.217987060546875
3400,49.01426696777344
3500,48.10315704345703
3600,48.12242126464844
3700,44.917911529541016
3800,43.45442199707031
3900,44.211212158203125
4000,42.298789978027344
4100,41.01226043701172
4200,39.028995513916016
4300,37.330448150634766
4400,35.92256164550781
4500,34.459197998046875
4600,33.86610794067383
4700,33.04352569580078
4800,30.392688751220703
4900,28.976694107055664
5000,28.433910369873047
5100,26.600257873535156
5200,25.385215759277344
5300,24.544963836669922
5400,24.88818359375
5500,22.358983993530273
5600,21.428739547729492
5700,20.435434341430664
5800,19.571308135986328
5900,19.69615364074707
6000,18.592670440673828
6100,17.186302185058594
6200,15.90738296508789
6300,15.485743522644043
6400,13.645392417907715
6500,13.447649955749512
6600,13.338072776794434
6700,12.660235404968262
6800,12.28010368347168
6900,11.060260772705078
7000,11.239124298095703
7100,11.804826736450195
7200,11.75731372833252
7300,10.736821174621582
7400,9.184603691101074
7500,9.167349815368652
7600,9.143207550048828
7700,10.01235580444336
7800,10.204026222229004
7900,8.103711128234863
