Step,Value
0,1.1466968059539795
100,2.1558823585510254
200,2.060746192932129
300,2.1653871536254883
400,2.3027055263519287
500,2.101113796234131
600,2.0157806873321533
700,2.19295072555542
800,2.1450095176696777
900,2.4400432109832764
1000,2.1418099403381348
1100,2.310816764831543
1200,2.6431081295013428
1300,2.190153121948242
1400,2.2350378036499023
1500,2.1667425632476807
1600,2.7857773303985596
1700,2.441084384918213
1800,2.790508270263672
1900,2.5775704383850098
2000,2.493678331375122
2100,2.242509126663208
2200,2.6530723571777344
2300,2.4238831996917725
2400,2.427482843399048
2500,2.306699275970459
2600,2.302490711212158
2700,2.3903751373291016
2800,2.103593349456787
2900,2.112323760986328
3000,2.4480152130126953
3100,2.5239248275756836
3200,2.002882480621338
3300,2.3607614040374756
3400,2.294844388961792
3500,2.2538223266601562
3600,2.390528678894043
3700,2.1561968326568604
3800,2.2737298011779785
3900,2.5502164363861084
4000,1.9014228582382202
4100,2.2806742191314697
4200,2.316317558288574
4300,1.987550139427185
4400,1.8603496551513672
4500,2.037719964981079
4600,1.9042816162109375
4700,1.9709527492523193
4800,1.848546028137207
4900,1.8063626289367676
5000,2.234548807144165
5100,1.5874810218811035
5200,1.8442867994308472
5300,1.8906818628311157
5400,2.0883076190948486
5500,1.8811548948287964
5600,1.6893439292907715
5700,1.864439845085144
5800,1.7575422525405884
5900,1.8167178630828857
6000,1.8500185012817383
6100,1.7931594848632812
6200,1.652241587638855
6300,1.846570372581482
6400,1.7658343315124512
6500,1.808261752128601
6600,2.0566608905792236
6700,1.7154078483581543
6800,2.016292095184326
6900,2.0126171112060547
7000,1.9428985118865967
7100,2.143993854522705
7200,2.161656141281128
7300,2.2162537574768066
7400,2.0465383529663086
7500,2.0584373474121094
7600,2.145979404449463
7700,2.294355869293213
7800,2.222003221511841
7900,2.2214982509613037
