Step,Value
0,-1258.842041015625
100,-1350.85107421875
200,-1117.447265625
300,-1066.745361328125
400,-1227.87646484375
500,-1293.3114013671875
600,-1071.2799072265625
700,-1218.251953125
800,-1162.7633056640625
900,-1140.854248046875
1000,-1137.177978515625
1100,-1134.261962890625
1200,-1157.899658203125
1300,-1219.2646484375
1400,-1174.90966796875
1500,-1212.249267578125
1600,-1229.058349609375
1700,-1350.3831787109375
1800,-1231.976806640625
1900,-1147.8951416015625
2000,-1157.445556640625
2100,-1154.7808837890625
2200,-1161.923095703125
2300,-1197.746826171875
2400,-1200.1309814453125
2500,-1221.2841796875
2600,-1302.8900146484375
2700,-1275.1539306640625
2800,-1232.753662109375
2900,-1206.191650390625
3000,-1146.567626953125
3100,-1207.0731201171875
3200,-1171.15869140625
3300,-1266.7620849609375
3400,-1191.455078125
3500,-1273.8798828125
3600,-1245.2777099609375
3700,-1184.96484375
3800,-1166.575439453125
3900,-1070.959228515625
4000,-1057.776123046875
4100,-1107.5234375
4200,-1067.5357666015625
4300,-1082.2462158203125
4400,-1038.2545166015625
4500,-766.4832763671875
4600,-795.2840576171875
4700,-861.87841796875
4800,-797.5967407226562
4900,-766.927001953125
5000,-847.4812622070312
5100,-683.74853515625
5200,-570.0133666992188
5300,-576.0404052734375
5400,-449.90399169921875
5500,-271.209716796875
5600,-300.241943359375
5700,-245.06309509277344
5800,-123.99116516113281
5900,-99.55735778808594
6000,-121.67474365234375
6100,-151.59120178222656
6200,-198.5550994873047
6300,-203.703369140625
6400,-99.06956481933594
6500,-165.09666442871094
6600,-126.43340301513672
6700,-98.32442474365234
6800,-145.47206115722656
6900,-121.29644775390625
7000,-171.1979217529297
7100,-148.6548614501953
7200,-192.9595184326172
7300,-166.1126708984375
7400,-95.72191619873047
7500,-124.56270599365234
7600,-142.55197143554688
7700,-119.42791748046875
7800,-120.24507141113281
7900,-122.09127807617188
