Step,Value
0,10.409111976623535
100,1.3579630851745605
200,1.2766597270965576
300,1.3066821098327637
400,1.1871163845062256
500,1.322998285293579
600,1.239680528640747
700,1.2227294445037842
800,1.200427770614624
900,1.1822935342788696
1000,1.2231053113937378
1100,1.1874041557312012
1200,1.2378621101379395
1300,1.1930301189422607
1400,1.256784439086914
1500,1.264151692390442
1600,1.2873518466949463
1700,1.1842081546783447
1800,1.16233491897583
1900,1.1998507976531982
2000,1.1412014961242676
2100,1.1515154838562012
2200,1.160304307937622
2300,1.1223170757293701
2400,1.1919124126434326
2500,1.1050639152526855
2600,1.1571195125579834
2700,1.2209298610687256
2800,1.1807141304016113
2900,1.2168121337890625
3000,1.1258302927017212
3100,1.1350736618041992
3200,1.2285847663879395
3300,1.18021821975708
3400,1.201430320739746
3500,1.272813320159912
3600,1.1819154024124146
3700,1.1974725723266602
3800,1.1708354949951172
3900,1.2350640296936035
4000,1.2041730880737305
4100,1.1179381608963013
4200,1.1387791633605957
4300,1.167130708694458
4400,1.2189772129058838
4500,1.2111568450927734
4600,1.1760308742523193
4700,1.1883412599563599
4800,1.1934819221496582
4900,1.238336205482483
5000,1.2362983226776123
5100,1.2452067136764526
5200,1.2549629211425781
5300,1.2569856643676758
5400,1.217729091644287
5500,1.1829147338867188
5600,1.1946911811828613
5700,1.22506582736969
5800,1.2633883953094482
5900,1.2195358276367188
6000,1.2322595119476318
6100,1.1966843605041504
6200,1.2259806394577026
6300,1.229174017906189
6400,1.2331836223602295
6500,1.2678337097167969
6600,1.241706371307373
6700,1.2043061256408691
6800,1.245648980140686
6900,1.1950031518936157
7000,1.2945729494094849
7100,1.2020263671875
7200,1.2026904821395874
7300,1.207099437713623
7400,1.205322504043579
7500,1.1534712314605713
7600,1.181429386138916
7700,1.2434710264205933
7800,1.2081332206726074
7900,1.2130091190338135
