Step,Value
0,2.7182817459106445
100,2.6777710914611816
200,2.637904405593872
300,2.598602533340454
400,2.55989933013916
500,2.521799087524414
600,2.4842493534088135
700,2.447293758392334
800,2.410860300064087
900,2.3750438690185547
1000,2.339634656906128
1100,2.3048431873321533
1200,2.270568609237671
1300,2.2368264198303223
1400,2.203587532043457
1500,2.170825958251953
1600,2.1386163234710693
1700,2.1068928241729736
1800,2.0756633281707764
1900,2.0448949337005615
2000,2.0145530700683594
2100,1.9846471548080444
2200,1.9552308320999146
2300,1.926274061203003
2400,1.89777410030365
2500,1.8697174787521362
2600,1.8421580791473389
2700,1.8149864673614502
2800,1.788279414176941
2900,1.761956810951233
3000,1.7360641956329346
3100,1.7106324434280396
3200,1.6856884956359863
3300,1.6609855890274048
3400,1.6368483304977417
3500,1.6130787134170532
3600,1.5896532535552979
3700,1.5667403936386108
3800,1.5439969301223755
3900,1.5216970443725586
4000,1.4999454021453857
4100,1.4785149097442627
4200,1.4573783874511719
4300,1.4366447925567627
4400,1.4162321090698242
4500,1.396246314048767
4600,1.3767188787460327
4700,1.3574738502502441
4800,1.3386445045471191
4900,1.3201037645339966
5000,1.301670789718628
5100,1.2837469577789307
5200,1.2662415504455566
5300,1.2490826845169067
5400,1.2321137189865112
5500,1.2153215408325195
5600,1.1990560293197632
5700,1.182883858680725
5800,1.1671208143234253
5900,1.151593565940857
6000,1.1362336874008179
6100,1.1213502883911133
6200,1.1066415309906006
6300,1.0919748544692993
6400,1.0776959657669067
6500,1.0638563632965088
6600,1.0499953031539917
6700,1.0363978147506714
6800,1.023262858390808
6900,1.0102510452270508
7000,0.9973620772361755
7100,0.9847375154495239
7200,0.9722044467926025
7300,0.9598600268363953
7400,0.9476935863494873
7500,0.9358048439025879
7600,0.9240409135818481
7700,0.9126002788543701
7800,0.9011644124984741
7900,0.8899417519569397
