Step,Value
0,-0.07872286438941956
100,-2.8852601051330566
200,-2.6290597915649414
300,-3.1954197883605957
400,-2.9058425426483154
500,-4.551815032958984
600,-5.075655937194824
700,-5.6517534255981445
800,-8.258333206176758
900,-6.914472579956055
1000,-7.7030229568481445
1100,-6.471240997314453
1200,-6.907584190368652
1300,-8.015268325805664
1400,-13.207778930664062
1500,-11.103616714477539
1600,-9.486787796020508
1700,-13.000718116760254
1800,-13.328852653503418
1900,-12.244912147521973
2000,-15.462014198303223
2100,-19.691207885742188
2200,-19.01084327697754
2300,-21.264371871948242
2400,-20.334278106689453
2500,-22.625782012939453
2600,-19.991899490356445
2700,-23.23772430419922
2800,-20.662353515625
2900,-26.084632873535156
3000,-24.41145896911621
3100,-29.91145133972168
3200,-27.98089599609375
3300,-27.38842010498047
3400,-26.519062042236328
3500,-28.953189849853516
3600,-27.27420997619629
3700,-32.456809997558594
3800,-37.941802978515625
3900,-37.35841369628906
4000,-38.15199661254883
4100,-34.17396926879883
4200,-34.44462585449219
4300,-36.933414459228516
4400,-38.90304946899414
4500,-39.25853729248047
4600,-41.39588928222656
4700,-41.527565002441406
4800,-43.55580139160156
4900,-35.45110321044922
5000,-41.535640716552734
5100,-36.12379455566406
5200,-41.222869873046875
5300,-42.0605583190918
5400,-50.32944107055664
5500,-46.910133361816406
5600,-43.308868408203125
5700,-48.72290802001953
5800,-44.99707794189453
5900,-54.720272064208984
6000,-48.99968338012695
6100,-54.62598419189453
6200,-45.30145263671875
6300,-41.143028259277344
6400,-45.26189422607422
6500,-48.200653076171875
6600,-51.91660690307617
6700,-55.11986541748047
6800,-40.542213439941406
6900,-43.72182846069336
7000,-47.37434768676758
7100,-55.70573425292969
7200,-43.69806671142578
7300,-48.73289489746094
7400,-45.96661376953125
7500,-44.158294677734375
7600,-47.456298828125
7700,-48.61151123046875
7800,-52.09845733642578
7900,-50.306243896484375
