Step,Value
0,-1281.66064453125
3,-1126.1689453125
6,-1248.9229736328125
9,-1334.72509765625
12,-1115.0653076171875
14,-1149.587890625
17,-1461.320068359375
20,-1216.5989990234375
22,-1406.4154052734375
25,-1395.242919921875
27,-1281.5606689453125
30,-1332.9027099609375
32,-1437.49755859375
35,-1406.381591796875
37,-1521.134521484375
40,-1618.7752685546875
42,-1407.75927734375
45,-1440.8203125
48,-1434.4031982421875
51,-1706.6912841796875
53,-1420.825439453125
56,-1318.6033935546875
59,-1557.5341796875
61,-1396.857666015625
64,-1420.7989501953125
66,-1368.9586181640625
69,-1510.792724609375
72,-1298.650390625
74,-1443.24365234375
77,-1369.6966552734375
80,-1482.8392333984375
83,-1233.9302978515625
85,-1254.21337890625
88,-1227.1448974609375
91,-1318.317138671875
93,-1198.7725830078125
96,-1092.826904296875
98,-1082.415771484375
101,-1139.7838134765625
104,-1109.78515625
106,-1071.5491943359375
109,-912.3129272460938
112,-1007.606201171875
115,-785.2042846679688
118,-1039.4801025390625
120,-942.4000854492188
123,-1082.4189453125
126,-900.75927734375
128,-852.9405517578125
131,-829.251708984375
134,-813.4304809570312
136,-643.463623046875
139,-847.6021728515625
141,-658.3302612304688
144,-643.3910522460938
146,-594.4946899414062
149,-546.8966674804688
151,-445.47943115234375
154,-430.7976379394531
156,-698.4833984375
159,-408.4759216308594
161,-505.96063232421875
164,-582.455810546875
167,-331.19873046875
170,-438.9065246582031
173,-556.1249389648438
175,-290.84515380859375
178,-352.8878173828125
180,-247.15225219726562
183,-197.90345764160156
185,-384.7908630371094
188,-127.06412506103516
190,-228.82437133789062
193,-123.0115966796875
195,-204.99957275390625
198,-147.82778930664062
200,-241.06622314453125
203,-204.28915405273438
205,-75.93829345703125
208,-306.233642578125
