Step,Value
1008,-1281.66064453125
1808,-1126.1689453125
2608,-1248.9229736328125
3408,-1334.72509765625
4208,-1115.0653076171875
5008,-1149.587890625
5808,-1461.320068359375
6608,-1216.5989990234375
7408,-1406.4154052734375
8208,-1395.242919921875
9008,-1281.5606689453125
9808,-1332.9027099609375
10608,-1437.49755859375
11408,-1406.381591796875
12208,-1521.134521484375
13008,-1618.7752685546875
13808,-1407.75927734375
14608,-1440.8203125
15408,-1434.4031982421875
16208,-1706.6912841796875
17008,-1420.825439453125
17808,-1318.6033935546875
18608,-1557.5341796875
19408,-1396.857666015625
20208,-1420.7989501953125
21008,-1368.9586181640625
21808,-1510.792724609375
22608,-1298.650390625
23408,-1443.24365234375
24208,-1369.6966552734375
25008,-1482.8392333984375
25808,-1233.9302978515625
26608,-1254.21337890625
27408,-1227.1448974609375
28208,-1318.317138671875
29008,-1198.7725830078125
29808,-1092.826904296875
30608,-1082.415771484375
31408,-1139.7838134765625
32208,-1109.78515625
33008,-1071.5491943359375
33808,-912.3129272460938
34608,-1007.606201171875
35408,-785.2042846679688
36208,-1039.4801025390625
37008,-942.4000854492188
37808,-1082.4189453125
38608,-900.75927734375
39408,-852.9405517578125
40208,-829.251708984375
41008,-813.4304809570312
41808,-643.463623046875
42608,-847.6021728515625
43408,-658.3302612304688
44208,-643.3910522460938
45008,-594.4946899414062
45808,-546.8966674804688
46608,-445.47943115234375
47408,-430.7976379394531
48208,-698.4833984375
49008,-408.4759216308594
49808,-505.96063232421875
50608,-582.455810546875
51408,-331.19873046875
52208,-438.9065246582031
53008,-556.1249389648438
53808,-290.84515380859375
54608,-352.8878173828125
55408,-247.15225219726562
56208,-197.90345764160156
57008,-384.7908630371094
57808,-127.06412506103516
58608,-228.82437133789062
59408,-123.0115966796875
60208,-204.99957275390625
61008,-147.82778930664062
61808,-241.06622314453125
62608,-204.28915405273438
63408,-75.93829345703125
64208,-306.233642578125
