Step,Value
0,-1281.66064453125
6400,-1126.1689453125
12800,-1248.9229736328125
19200,-1334.72509765625
25600,-1115.0653076171875
32000,-1149.587890625
38400,-1461.320068359375
44800,-1216.5989990234375
51200,-1406.4154052734375
57600,-1395.242919921875
64000,-1281.5606689453125
70400,-1332.9027099609375
76800,-1437.49755859375
83200,-1406.381591796875
89600,-1521.134521484375
96000,-1618.7752685546875
102400,-1407.75927734375
108800,-1440.8203125
115200,-1434.4031982421875
121600,-1706.6912841796875
128000,-1420.825439453125
134400,-1318.6033935546875
140800,-1557.5341796875
147200,-1396.857666015625
153600,-1420.7989501953125
160000,-1368.9586181640625
166400,-1510.792724609375
172800,-1298.650390625
179200,-1443.24365234375
185600,-1369.6966552734375
192000,-1482.8392333984375
198400,-1233.9302978515625
204800,-1254.21337890625
211200,-1227.1448974609375
217600,-1318.317138671875
224000,-1198.7725830078125
230400,-1092.826904296875
236800,-1082.415771484375
243200,-1139.7838134765625
249600,-1109.78515625
256000,-1071.5491943359375
262400,-912.3129272460938
268800,-1007.606201171875
275200,-785.2042846679688
281600,-1039.4801025390625
288000,-942.4000854492188
294400,-1082.4189453125
300800,-900.75927734375
307200,-852.9405517578125
313600,-829.251708984375
320000,-813.4304809570312
326400,-643.463623046875
332800,-847.6021728515625
339200,-658.3302612304688
345600,-643.3910522460938
352000,-594.4946899414062
358400,-546.8966674804688
364800,-445.47943115234375
371200,-430.7976379394531
377600,-698.4833984375
384000,-408.4759216308594
390400,-505.96063232421875
396800,-582.455810546875
403200,-331.19873046875
409600,-438.9065246582031
416000,-556.1249389648438
422400,-290.84515380859375
428800,-352.8878173828125
435200,-247.15225219726562
441600,-197.90345764160156
448000,-384.7908630371094
454400,-127.06412506103516
460800,-228.82437133789062
467200,-123.0115966796875
473600,-204.99957275390625
480000,-147.82778930664062
486400,-241.06622314453125
492800,-204.28915405273438
499200,-75.93829345703125
505600,-306.233642578125
