Step,Value
0,0.01608046144247055
100,-2.5983757972717285
200,-2.686617136001587
300,-3.3945140838623047
400,-3.84297513961792
500,-4.252413272857666
600,-5.137008190155029
700,-5.318937301635742
800,-5.7236433029174805
900,-5.244547367095947
1000,-7.705169677734375
1100,-7.217233657836914
1200,-8.651416778564453
1300,-10.27490234375
1400,-9.686148643493652
1500,-11.283218383789062
1600,-10.900814056396484
1700,-13.08200740814209
1800,-12.873796463012695
1900,-13.94310188293457
2000,-15.073532104492188
2100,-16.238422393798828
2200,-17.79088592529297
2300,-18.644794464111328
2400,-17.784666061401367
2500,-19.849266052246094
2600,-21.069461822509766
2700,-20.630998611450195
2800,-24.478734970092773
2900,-22.57301139831543
3000,-25.421560287475586
3100,-25.13228416442871
3200,-25.43480682373047
3300,-26.77265739440918
3400,-26.38574981689453
3500,-27.40353775024414
3600,-29.506811141967773
3700,-30.540882110595703
3800,-32.788230895996094
3900,-33.726741790771484
4000,-30.17994499206543
4100,-34.723838806152344
4200,-33.89319610595703
4300,-35.55921936035156
4400,-34.722999572753906
4500,-36.93747329711914
4600,-36.863121032714844
4700,-38.03834533691406
4800,-38.63599395751953
4900,-37.787086486816406
5000,-41.7048454284668
5100,-39.38783264160156
5200,-41.74365997314453
5300,-42.093109130859375
5400,-45.33906555175781
5500,-41.219486236572266
5600,-44.0634651184082
5700,-44.21272659301758
5800,-45.19293975830078
5900,-47.674407958984375
6000,-43.8250732421875
6100,-48.697235107421875
6200,-40.455589294433594
6300,-45.48163986206055
6400,-45.79352569580078
6500,-44.15168762207031
6600,-51.04521942138672
6700,-45.23318099975586
6800,-44.47409439086914
6900,-47.07798385620117
7000,-44.2296028137207
7100,-42.820526123046875
7200,-41.57776641845703
7300,-43.824954986572266
7400,-42.475826263427734
7500,-38.37416458129883
7600,-44.811073303222656
7700,-46.89619445800781
7800,-41.34916687011719
7900,-43.31524658203125
8000,-40.627349853515625
8100,-40.921722412109375
8200,-43.91307830810547
8300,-38.12948989868164
8400,-45.51073455810547
8500,-45.131072998046875
8600,-38.103477478027344
8700,-39.333702087402344
8800,-42.93699645996094
8900,-41.68895721435547
9000,-40.09010696411133
9100,-42.48056411743164
9200,-35.51604080200195
9300,-43.76459503173828
9400,-42.78169250488281
9500,-36.97972106933594
9600,-42.17588424682617
9700,-33.16929626464844
9800,-35.639190673828125
9900,-37.12950134277344
10000,-37.37724304199219
10100,-36.381683349609375
10200,-34.37113952636719
10300,-35.55466842651367
10400,-35.52214050292969
10500,-40.236793518066406
10600,-27.84299659729004
10700,-34.22587966918945
10800,-41.125057220458984
10900,-36.87617111206055
11000,-38.4958610534668
11100,-33.448875427246094
11200,-32.907474517822266
11300,-40.47951126098633
11400,-31.397689819335938
11500,-33.6390266418457
11600,-33.62757110595703
11700,-32.270931243896484
11800,-34.167762756347656
11900,-38.880374908447266
