Step,Value
0,-1475.866943359375
100,-1383.963623046875
200,-1127.8092041015625
300,-1320.477294921875
400,-1428.694580078125
500,-1087.0679931640625
600,-1207.19873046875
700,-1410.7335205078125
800,-1248.835205078125
900,-1167.6263427734375
1000,-1246.35400390625
1100,-1401.343505859375
1200,-1362.8890380859375
1300,-1423.9656982421875
1400,-1247.5987548828125
1500,-1447.7589111328125
1600,-1372.7237548828125
1700,-1443.17333984375
1800,-1439.1278076171875
1900,-1555.8043212890625
2000,-1394.610107421875
2100,-1460.5980224609375
2200,-1298.9364013671875
2300,-1303.5081787109375
2400,-1410.80517578125
2500,-1275.151611328125
2600,-1250.5435791015625
2700,-1260.6195068359375
2800,-1263.088134765625
2900,-1228.4078369140625
3000,-1438.434326171875
3100,-1258.5755615234375
3200,-1273.08740234375
3300,-1164.17138671875
3400,-1180.466796875
3500,-1148.291259765625
3600,-1124.10595703125
3700,-1075.176025390625
3800,-1084.0335693359375
3900,-1095.2049560546875
4000,-1104.035888671875
4100,-991.50537109375
4200,-917.28271484375
4300,-1109.744140625
4400,-958.6234741210938
4500,-941.7105712890625
4600,-873.3081665039062
4700,-967.4697875976562
4800,-868.2042846679688
4900,-884.2991943359375
5000,-866.4264526367188
5100,-705.3500366210938
5200,-835.902099609375
5300,-725.0855712890625
5400,-649.748291015625
5500,-518.6906127929688
5600,-497.7658386230469
5700,-349.01788330078125
5800,-440.9623107910156
5900,-336.20989990234375
6000,-263.61883544921875
6100,-248.93736267089844
6200,-258.7669372558594
6300,-76.81120300292969
6400,-151.19200134277344
6500,-125.2713623046875
6600,-261.0805358886719
6700,-145.68629455566406
6800,-147.16407775878906
6900,-76.3345718383789
7000,-209.16404724121094
7100,-147.95191955566406
7200,-148.16612243652344
7300,-148.64710998535156
7400,-98.35834503173828
7500,-240.1079559326172
7600,-228.7627410888672
7700,-73.71143341064453
7800,-172.016357421875
7900,-123.42659759521484
8000,-121.68106842041016
8100,-296.81280517578125
8200,-169.99853515625
8300,-147.28060913085938
8400,-148.02117919921875
8500,-123.01334381103516
8600,-189.2747802734375
8700,-124.80635833740234
8800,-98.09529113769531
8900,-73.60537719726562
9000,-171.04502868652344
9100,-98.238037109375
9200,-214.48399353027344
9300,-166.44822692871094
9400,-146.39157104492188
9500,-191.74403381347656
9600,-189.82533264160156
9700,-172.2677001953125
9800,-198.84559631347656
9900,-197.12921142578125
10000,-189.32546997070312
10100,-209.2028350830078
10200,-140.72398376464844
10300,-168.67543029785156
10400,-146.84718322753906
10500,-247.82994079589844
10600,-168.408203125
10700,-129.68960571289062
10800,-157.55946350097656
10900,-151.54653930664062
11000,-168.30455017089844
11100,-171.7689971923828
11200,-148.1546630859375
11300,-145.41497802734375
11400,-141.40492248535156
11500,-121.288818359375
11600,-121.28857421875
11700,-120.5730209350586
11800,-162.7410125732422
11900,-170.96363830566406
