Step,Value
0,-1475.866943359375
3,-1383.963623046875
6,-1127.8092041015625
9,-1320.477294921875
13,-1428.694580078125
16,-1087.0679931640625
19,-1207.19873046875
22,-1410.7335205078125
25,-1248.835205078125
28,-1167.6263427734375
31,-1246.35400390625
34,-1401.343505859375
37,-1362.8890380859375
41,-1423.9656982421875
44,-1247.5987548828125
47,-1447.7589111328125
50,-1372.7237548828125
54,-1443.17333984375
57,-1439.1278076171875
60,-1555.8043212890625
64,-1394.610107421875
67,-1460.5980224609375
70,-1298.9364013671875
73,-1303.5081787109375
76,-1410.80517578125
80,-1275.151611328125
83,-1250.5435791015625
86,-1260.6195068359375
89,-1263.088134765625
92,-1228.4078369140625
96,-1438.434326171875
99,-1258.5755615234375
103,-1273.08740234375
106,-1164.17138671875
109,-1180.466796875
112,-1148.291259765625
115,-1124.10595703125
118,-1075.176025390625
122,-1084.0335693359375
125,-1095.2049560546875
130,-1104.035888671875
134,-991.50537109375
137,-917.28271484375
141,-1109.744140625
144,-958.6234741210938
148,-941.7105712890625
151,-873.3081665039062
156,-967.4697875976562
159,-868.2042846679688
163,-884.2991943359375
166,-866.4264526367188
169,-705.3500366210938
172,-835.902099609375
176,-725.0855712890625
179,-649.748291015625
184,-518.6906127929688
188,-497.7658386230469
191,-349.01788330078125
195,-440.9623107910156
199,-336.20989990234375
202,-263.61883544921875
205,-248.93736267089844
209,-258.7669372558594
212,-76.81120300292969
215,-151.19200134277344
218,-125.2713623046875
221,-261.0805358886719
224,-145.68629455566406
227,-147.16407775878906
231,-76.3345718383789
234,-209.16404724121094
237,-147.95191955566406
241,-148.16612243652344
244,-148.64710998535156
247,-98.35834503173828
250,-240.1079559326172
253,-228.7627410888672
256,-73.71143341064453
259,-172.016357421875
262,-123.42659759521484
265,-121.68106842041016
268,-296.81280517578125
271,-169.99853515625
275,-147.28060913085938
279,-148.02117919921875
282,-123.01334381103516
286,-189.2747802734375
289,-124.80635833740234
294,-98.09529113769531
297,-73.60537719726562
301,-171.04502868652344
304,-98.238037109375
307,-214.48399353027344
312,-166.44822692871094
315,-146.39157104492188
318,-191.74403381347656
321,-189.82533264160156
324,-172.2677001953125
328,-198.84559631347656
331,-197.12921142578125
334,-189.32546997070312
336,-209.2028350830078
339,-140.72398376464844
342,-168.67543029785156
345,-146.84718322753906
348,-247.82994079589844
351,-168.408203125
354,-129.68960571289062
357,-157.55946350097656
360,-151.54653930664062
363,-168.30455017089844
366,-171.7689971923828
369,-148.1546630859375
372,-145.41497802734375
374,-141.40492248535156
377,-121.288818359375
380,-121.28857421875
383,-120.5730209350586
386,-162.7410125732422
389,-170.96363830566406
