Step,Value
10020,-1475.866943359375
12020,-1383.963623046875
14020,-1127.8092041015625
16020,-1320.477294921875
18020,-1428.694580078125
20020,-1087.0679931640625
22020,-1207.19873046875
24020,-1410.7335205078125
26020,-1248.835205078125
28020,-1167.6263427734375
30020,-1246.35400390625
32020,-1401.343505859375
34020,-1362.8890380859375
36020,-1423.9656982421875
38020,-1247.5987548828125
40020,-1447.7589111328125
42020,-1372.7237548828125
44020,-1443.17333984375
46020,-1439.1278076171875
48020,-1555.8043212890625
50020,-1394.610107421875
52020,-1460.5980224609375
54020,-1298.9364013671875
56020,-1303.5081787109375
58020,-1410.80517578125
60020,-1275.151611328125
62020,-1250.5435791015625
64020,-1260.6195068359375
66020,-1263.088134765625
68020,-1228.4078369140625
70020,-1438.434326171875
72020,-1258.5755615234375
74020,-1273.08740234375
76020,-1164.17138671875
78020,-1180.466796875
80020,-1148.291259765625
82020,-1124.10595703125
84020,-1075.176025390625
86020,-1084.0335693359375
88020,-1095.2049560546875
90020,-1104.035888671875
92020,-991.50537109375
94020,-917.28271484375
96020,-1109.744140625
98020,-958.6234741210938
100020,-941.7105712890625
102020,-873.3081665039062
104020,-967.4697875976562
106020,-868.2042846679688
108020,-884.2991943359375
110020,-866.4264526367188
112020,-705.3500366210938
114020,-835.902099609375
116020,-725.0855712890625
118020,-649.748291015625
120020,-518.6906127929688
122020,-497.7658386230469
124020,-349.01788330078125
126020,-440.9623107910156
128020,-336.20989990234375
130020,-263.61883544921875
132020,-248.93736267089844
134020,-258.7669372558594
136020,-76.81120300292969
138020,-151.19200134277344
140020,-125.2713623046875
142020,-261.0805358886719
144020,-145.68629455566406
146020,-147.16407775878906
148020,-76.3345718383789
150020,-209.16404724121094
152020,-147.95191955566406
154020,-148.16612243652344
156020,-148.64710998535156
158020,-98.35834503173828
160020,-240.1079559326172
162020,-228.7627410888672
164020,-73.71143341064453
166020,-172.016357421875
168020,-123.42659759521484
170020,-121.68106842041016
172020,-296.81280517578125
174020,-169.99853515625
176020,-147.28060913085938
178020,-148.02117919921875
180020,-123.01334381103516
182020,-189.2747802734375
184020,-124.80635833740234
186020,-98.09529113769531
188020,-73.60537719726562
190020,-171.04502868652344
192020,-98.238037109375
194020,-214.48399353027344
196020,-166.44822692871094
198020,-146.39157104492188
200020,-191.74403381347656
202020,-189.82533264160156
204020,-172.2677001953125
206020,-198.84559631347656
208020,-197.12921142578125
210020,-189.32546997070312
212020,-209.2028350830078
214020,-140.72398376464844
216020,-168.67543029785156
218020,-146.84718322753906
220020,-247.82994079589844
222020,-168.408203125
224020,-129.68960571289062
226020,-157.55946350097656
228020,-151.54653930664062
230020,-168.30455017089844
232020,-171.7689971923828
234020,-148.1546630859375
236020,-145.41497802734375
238020,-141.40492248535156
240020,-121.288818359375
242020,-121.28857421875
244020,-120.5730209350586
246020,-162.7410125732422
248020,-170.96363830566406
