Step,Value
0,-1475.866943359375
25600,-1383.963623046875
51200,-1127.8092041015625
76800,-1320.477294921875
102400,-1428.694580078125
128000,-1087.0679931640625
153600,-1207.19873046875
179200,-1410.7335205078125
204800,-1248.835205078125
230400,-1167.6263427734375
256000,-1246.35400390625
281600,-1401.343505859375
307200,-1362.8890380859375
332800,-1423.9656982421875
358400,-1247.5987548828125
384000,-1447.7589111328125
409600,-1372.7237548828125
435200,-1443.17333984375
460800,-1439.1278076171875
486400,-1555.8043212890625
512000,-1394.610107421875
537600,-1460.5980224609375
563200,-1298.9364013671875
588800,-1303.5081787109375
614400,-1410.80517578125
640000,-1275.151611328125
665600,-1250.5435791015625
691200,-1260.6195068359375
716800,-1263.088134765625
742400,-1228.4078369140625
768000,-1438.434326171875
793600,-1258.5755615234375
819200,-1273.08740234375
844800,-1164.17138671875
870400,-1180.466796875
896000,-1148.291259765625
921600,-1124.10595703125
947200,-1075.176025390625
972800,-1084.0335693359375
998400,-1095.2049560546875
1024000,-1104.035888671875
1049600,-991.50537109375
1075200,-917.28271484375
1100800,-1109.744140625
1126400,-958.6234741210938
1152000,-941.7105712890625
1177600,-873.3081665039062
1203200,-967.4697875976562
1228800,-868.2042846679688
1254400,-884.2991943359375
1280000,-866.4264526367188
1305600,-705.3500366210938
1331200,-835.902099609375
1356800,-725.0855712890625
1382400,-649.748291015625
1408000,-518.6906127929688
1433600,-497.7658386230469
1459200,-349.01788330078125
1484800,-440.9623107910156
1510400,-336.20989990234375
1536000,-263.61883544921875
1561600,-248.93736267089844
1587200,-258.7669372558594
1612800,-76.81120300292969
1638400,-151.19200134277344
1664000,-125.2713623046875
1689600,-261.0805358886719
1715200,-145.68629455566406
1740800,-147.16407775878906
1766400,-76.3345718383789
1792000,-209.16404724121094
1817600,-147.95191955566406
1843200,-148.16612243652344
1868800,-148.64710998535156
1894400,-98.35834503173828
1920000,-240.1079559326172
1945600,-228.7627410888672
1971200,-73.71143341064453
1996800,-172.016357421875
2022400,-123.42659759521484
2048000,-121.68106842041016
2073600,-296.81280517578125
2099200,-169.99853515625
2124800,-147.28060913085938
2150400,-148.02117919921875
2176000,-123.01334381103516
2201600,-189.2747802734375
2227200,-124.80635833740234
2252800,-98.09529113769531
2278400,-73.60537719726562
2304000,-171.04502868652344
2329600,-98.238037109375
2355200,-214.48399353027344
2380800,-166.44822692871094
2406400,-146.39157104492188
2432000,-191.74403381347656
2457600,-189.82533264160156
2483200,-172.2677001953125
2508800,-198.84559631347656
2534400,-197.12921142578125
2560000,-189.32546997070312
2585600,-209.2028350830078
2611200,-140.72398376464844
2636800,-168.67543029785156
2662400,-146.84718322753906
2688000,-247.82994079589844
2713600,-168.408203125
2739200,-129.68960571289062
2764800,-157.55946350097656
2790400,-151.54653930664062
2816000,-168.30455017089844
2841600,-171.7689971923828
2867200,-148.1546630859375
2892800,-145.41497802734375
2918400,-141.40492248535156
2944000,-121.288818359375
2969600,-121.28857421875
2995200,-120.5730209350586
3020800,-162.7410125732422
3046400,-170.96363830566406
