Step,Value
0,-0.04429847002029419
100,-3.013413190841675
200,-3.4264211654663086
300,-3.6055068969726562
400,-4.0773162841796875
500,-4.198458671569824
600,-5.284762382507324
700,-6.071062088012695
800,-5.851649284362793
900,-7.288247108459473
1000,-8.269445419311523
1100,-9.075128555297852
1200,-8.959310531616211
1300,-9.46734619140625
1400,-11.449686050415039
1500,-11.87995719909668
1600,-12.969315528869629
1700,-14.414875984191895
1800,-15.401405334472656
1900,-15.418463706970215
2000,-15.885637283325195
2100,-19.046762466430664
2200,-18.246295928955078
2300,-20.694873809814453
2400,-19.019662857055664
2500,-21.121463775634766
2600,-23.76482391357422
2700,-23.36798095703125
2800,-25.9510498046875
2900,-26.177688598632812
3000,-24.68661117553711
3100,-27.27753448486328
3200,-28.324798583984375
3300,-29.448165893554688
3400,-29.98724365234375
3500,-30.222978591918945
3600,-32.875518798828125
3700,-32.46229934692383
3800,-33.54959487915039
3900,-34.03688049316406
4000,-35.470680236816406
4100,-34.007686614990234
4200,-37.697044372558594
4300,-37.690303802490234
4400,-39.968177795410156
4500,-38.2183837890625
4600,-38.609169006347656
4700,-40.37472915649414
4800,-42.09645462036133
4900,-43.66334533691406
5000,-41.880271911621094
5100,-42.71943283081055
5200,-43.20461654663086
5300,-46.65482711791992
5400,-44.33553695678711
5500,-46.84485626220703
5600,-47.710838317871094
5700,-45.4423828125
5800,-48.05223083496094
5900,-48.02850341796875
6000,-50.790260314941406
6100,-48.82855224609375
6200,-49.021324157714844
6300,-45.59206771850586
6400,-47.45362091064453
6500,-52.91619110107422
6600,-48.09703063964844
6700,-46.497127532958984
6800,-52.00309753417969
6900,-45.00830841064453
7000,-46.71894454956055
7100,-46.65838623046875
7200,-43.00406265258789
7300,-45.68659973144531
7400,-48.00831604003906
7500,-44.39909362792969
7600,-45.288970947265625
7700,-47.43061065673828
7800,-41.73369598388672
7900,-44.74834442138672
8000,-47.1036376953125
8100,-45.54226303100586
8200,-47.986228942871094
8300,-40.54747772216797
8400,-40.79279327392578
8500,-46.50023651123047
8600,-45.57337188720703
8700,-44.42687225341797
8800,-47.69940185546875
8900,-39.85675811767578
9000,-46.97872543334961
9100,-45.760894775390625
9200,-43.881195068359375
9300,-39.99984359741211
9400,-36.61223220825195
9500,-36.010169982910156
9600,-45.273704528808594
9700,-39.46800231933594
9800,-36.66069412231445
9900,-36.74557876586914
10000,-39.446632385253906
10100,-30.804309844970703
10200,-42.64287185668945
10300,-44.16163635253906
10400,-33.73514175415039
10500,-36.899444580078125
10600,-36.972068786621094
10700,-45.274932861328125
10800,-42.42491149902344
10900,-33.29964828491211
11000,-35.591651916503906
11100,-35.547210693359375
11200,-39.49875259399414
11300,-38.8121223449707
11400,-32.118953704833984
11500,-36.48666000366211
11600,-31.71845245361328
11700,-37.02758026123047
11800,-37.82353210449219
11900,-36.26049041748047
