Step,Value
0,0.660158097743988
100,0.8868318200111389
200,1.278441309928894
300,1.2870599031448364
400,1.260455846786499
500,1.241809368133545
600,1.2342551946640015
700,1.2349244356155396
800,1.2368724346160889
900,1.245948076248169
1000,1.2559988498687744
1100,1.2660491466522217
1200,1.2743914127349854
1300,1.2904250621795654
1400,1.2986717224121094
1500,1.3111778497695923
1600,1.3239203691482544
1700,1.3386671543121338
1800,1.3508838415145874
1900,1.3633038997650146
2000,1.3777161836624146
2100,1.3871104717254639
2200,1.3931918144226074
2300,1.4016823768615723
2400,1.4033243656158447
2500,1.417227864265442
2600,1.4277751445770264
2700,1.4370167255401611
2800,1.4435752630233765
2900,1.448776364326477
3000,1.4595670700073242
3100,1.4650638103485107
3200,1.468761682510376
3300,1.4728820323944092
3400,1.4861334562301636
3500,1.4838587045669556
3600,1.491487979888916
3700,1.4924126863479614
3800,1.4976320266723633
3900,1.5024468898773193
4000,1.5094523429870605
4100,1.5090082883834839
4200,1.5133070945739746
4300,1.5112800598144531
4400,1.5181461572647095
4500,1.5207220315933228
4600,1.526911973953247
4700,1.5380616188049316
4800,1.5426990985870361
4900,1.5502077341079712
5000,1.5652374029159546
5100,1.5726491212844849
5200,1.5746779441833496
5300,1.587733507156372
5400,1.5948299169540405
5500,1.6081942319869995
5600,1.6096487045288086
5700,1.619245171546936
5800,1.6279933452606201
5900,1.6384849548339844
6000,1.6551874876022339
6100,1.6636693477630615
6200,1.677215814590454
6300,1.6913998126983643
6400,1.705183506011963
6500,1.7166088819503784
6600,1.7272173166275024
6700,1.7402888536453247
6800,1.761034607887268
6900,1.7801328897476196
7000,1.790669560432434
7100,1.802202582359314
7200,1.8200738430023193
7300,1.8339444398880005
7400,1.8530004024505615
7500,1.8711166381835938
7600,1.8916198015213013
7700,1.917067050933838
7800,1.9320701360702515
7900,1.9581241607666016
8000,1.978378176689148
8100,2.0039238929748535
8200,2.021348476409912
8300,2.0483102798461914
8400,2.0716254711151123
8500,2.092705249786377
8600,2.1159543991088867
8700,2.137298583984375
8800,2.1625325679779053
8900,2.1854827404022217
9000,2.2072014808654785
9100,2.236319065093994
9200,2.269561767578125
9300,2.2957396507263184
9400,2.318978786468506
9500,2.345331907272339
9600,2.3756496906280518
9700,2.404491901397705
9800,2.4301273822784424
9900,2.46313738822937
10000,2.4930286407470703
10100,2.525545120239258
10200,2.558624744415283
10300,2.5944595336914062
10400,2.62135648727417
10500,2.6444811820983887
10600,2.67449688911438
10700,2.712359666824341
10800,2.736173152923584
10900,2.779799222946167
11000,2.8203303813934326
11100,2.845494031906128
11200,2.873523473739624
11300,2.9092507362365723
11400,2.9365556240081787
11500,2.971449851989746
11600,3.020484685897827
11700,3.0530128479003906
11800,3.09855055809021
11900,3.1279654502868652
