Step,Value
0,-1086.8284912109375
100,-1139.199462890625
200,-1285.3138427734375
300,-1202.60791015625
400,-1281.46923828125
500,-1253.0484619140625
600,-1482.8302001953125
700,-1348.398193359375
800,-1425.29638671875
900,-1564.3531494140625
1000,-1519.4188232421875
1100,-1344.0469970703125
1200,-1338.099609375
1300,-1211.9642333984375
1400,-1242.321533203125
1500,-1453.0599365234375
1600,-1584.3773193359375
1700,-1390.4613037109375
1800,-1565.7237548828125
1900,-1366.557373046875
2000,-1245.0880126953125
2100,-1479.4716796875
2200,-1305.1617431640625
2300,-1381.989013671875
2400,-1422.14892578125
2500,-1558.9521484375
2600,-1423.6658935546875
2700,-1273.7950439453125
2800,-1328.78369140625
2900,-1255.0751953125
3000,-1417.02392578125
3100,-1257.92236328125
3200,-1146.4451904296875
3300,-1269.657470703125
3400,-1140.532958984375
3500,-1216.4632568359375
3600,-1164.63037109375
3700,-1102.189453125
3800,-1219.862060546875
3900,-1078.107421875
4000,-1084.2791748046875
4100,-1061.100341796875
4200,-1014.1209106445312
4300,-1070.060791015625
4400,-1009.443603515625
4500,-981.6239624023438
4600,-947.07177734375
4700,-970.6361694335938
4800,-861.4946899414062
4900,-854.9215698242188
5000,-936.1312255859375
5100,-904.2330932617188
5200,-816.7350463867188
5300,-743.9447631835938
5400,-547.8673095703125
5500,-485.6203308105469
5600,-587.313232421875
5700,-308.91485595703125
5800,-362.03668212890625
5900,-308.1036071777344
6000,-475.99652099609375
6100,-363.5107421875
6200,-200.20758056640625
6300,-247.41392517089844
6400,-242.12313842773438
6500,-257.3731994628906
6600,-257.8509521484375
6700,-272.1138000488281
6800,-228.34567260742188
6900,-101.93922424316406
7000,-122.10749053955078
7100,-303.6579895019531
7200,-194.97760009765625
7300,-124.29081726074219
7400,-191.90377807617188
7500,-172.09683227539062
7600,-100.69428253173828
7700,-148.21177673339844
7800,-124.17688751220703
7900,-211.8675537109375
8000,-149.2690887451172
8100,-96.35132598876953
8200,-147.75137329101562
8300,-165.25331115722656
8400,-201.1960906982422
8500,-178.37779235839844
8600,-200.83071899414062
8700,-144.12655639648438
8800,-147.3623046875
8900,-146.95993041992188
9000,-151.3291778564453
9100,-199.512939453125
9200,-123.83414459228516
9300,-143.57542419433594
9400,-188.07386779785156
9500,-194.17420959472656
9600,-97.46052551269531
9700,-144.11683654785156
9800,-121.76502227783203
9900,-121.3637924194336
10000,-154.36679077148438
10100,-143.96864318847656
10200,-189.2725067138672
10300,-98.73395538330078
10400,-148.65318298339844
10500,-119.86748504638672
10600,-121.1771469116211
10700,-144.69802856445312
10800,-172.01112365722656
10900,-127.00751495361328
11000,-145.0606231689453
11100,-196.75564575195312
11200,-180.16378784179688
11300,-145.30299377441406
11400,-119.7271499633789
11500,-148.26516723632812
11600,-156.05722045898438
11700,-187.03224182128906
11800,-99.39922332763672
11900,-210.50340270996094
