Step,Value
0,-1086.8284912109375
3,-1139.199462890625
7,-1285.3138427734375
10,-1202.60791015625
13,-1281.46923828125
16,-1253.0484619140625
19,-1482.8302001953125
22,-1348.398193359375
26,-1425.29638671875
30,-1564.3531494140625
33,-1519.4188232421875
36,-1344.0469970703125
39,-1338.099609375
43,-1211.9642333984375
45,-1242.321533203125
49,-1453.0599365234375
52,-1584.3773193359375
54,-1390.4613037109375
58,-1565.7237548828125
61,-1366.557373046875
64,-1245.0880126953125
66,-1479.4716796875
69,-1305.1617431640625
72,-1381.989013671875
76,-1422.14892578125
78,-1558.9521484375
82,-1423.6658935546875
84,-1273.7950439453125
87,-1328.78369140625
90,-1255.0751953125
93,-1417.02392578125
96,-1257.92236328125
98,-1146.4451904296875
101,-1269.657470703125
104,-1140.532958984375
107,-1216.4632568359375
110,-1164.63037109375
113,-1102.189453125
115,-1219.862060546875
118,-1078.107421875
121,-1084.2791748046875
125,-1061.100341796875
128,-1014.1209106445312
131,-1070.060791015625
133,-1009.443603515625
136,-981.6239624023438
139,-947.07177734375
142,-970.6361694335938
145,-861.4946899414062
148,-854.9215698242188
151,-936.1312255859375
154,-904.2330932617188
157,-816.7350463867188
160,-743.9447631835938
163,-547.8673095703125
165,-485.6203308105469
169,-587.313232421875
172,-308.91485595703125
174,-362.03668212890625
177,-308.1036071777344
180,-475.99652099609375
183,-363.5107421875
187,-200.20758056640625
189,-247.41392517089844
192,-242.12313842773438
196,-257.3731994628906
199,-257.8509521484375
202,-272.1138000488281
205,-228.34567260742188
208,-101.93922424316406
211,-122.10749053955078
214,-303.6579895019531
216,-194.97760009765625
219,-124.29081726074219
223,-191.90377807617188
225,-172.09683227539062
228,-100.69428253173828
231,-148.21177673339844
235,-124.17688751220703
237,-211.8675537109375
240,-149.2690887451172
243,-96.35132598876953
246,-147.75137329101562
248,-165.25331115722656
251,-201.1960906982422
254,-178.37779235839844
256,-200.83071899414062
259,-144.12655639648438
262,-147.3623046875
265,-146.95993041992188
268,-151.3291778564453
271,-199.512939453125
273,-123.83414459228516
276,-143.57542419433594
279,-188.07386779785156
283,-194.17420959472656
286,-97.46052551269531
289,-144.11683654785156
291,-121.76502227783203
294,-121.3637924194336
298,-154.36679077148438
300,-143.96864318847656
303,-189.2725067138672
307,-98.73395538330078
309,-148.65318298339844
312,-119.86748504638672
315,-121.1771469116211
318,-144.69802856445312
321,-172.01112365722656
324,-127.00751495361328
327,-145.0606231689453
330,-196.75564575195312
333,-180.16378784179688
336,-145.30299377441406
338,-119.7271499633789
342,-148.26516723632812
344,-156.05722045898438
347,-187.03224182128906
350,-99.39922332763672
353,-210.50340270996094
