Step,Value
10020,-1086.8284912109375
12020,-1139.199462890625
14020,-1285.3138427734375
16020,-1202.60791015625
18020,-1281.46923828125
20020,-1253.0484619140625
22020,-1482.8302001953125
24020,-1348.398193359375
26020,-1425.29638671875
28020,-1564.3531494140625
30020,-1519.4188232421875
32020,-1344.0469970703125
34020,-1338.099609375
36020,-1211.9642333984375
38020,-1242.321533203125
40020,-1453.0599365234375
42020,-1584.3773193359375
44020,-1390.4613037109375
46020,-1565.7237548828125
48020,-1366.557373046875
50020,-1245.0880126953125
52020,-1479.4716796875
54020,-1305.1617431640625
56020,-1381.989013671875
58020,-1422.14892578125
60020,-1558.9521484375
62020,-1423.6658935546875
64020,-1273.7950439453125
66020,-1328.78369140625
68020,-1255.0751953125
70020,-1417.02392578125
72020,-1257.92236328125
74020,-1146.4451904296875
76020,-1269.657470703125
78020,-1140.532958984375
80020,-1216.4632568359375
82020,-1164.63037109375
84020,-1102.189453125
86020,-1219.862060546875
88020,-1078.107421875
90020,-1084.2791748046875
92020,-1061.100341796875
94020,-1014.1209106445312
96020,-1070.060791015625
98020,-1009.443603515625
100020,-981.6239624023438
102020,-947.07177734375
104020,-970.6361694335938
106020,-861.4946899414062
108020,-854.9215698242188
110020,-936.1312255859375
112020,-904.2330932617188
114020,-816.7350463867188
116020,-743.9447631835938
118020,-547.8673095703125
120020,-485.6203308105469
122020,-587.313232421875
124020,-308.91485595703125
126020,-362.03668212890625
128020,-308.1036071777344
130020,-475.99652099609375
132020,-363.5107421875
134020,-200.20758056640625
136020,-247.41392517089844
138020,-242.12313842773438
140020,-257.3731994628906
142020,-257.8509521484375
144020,-272.1138000488281
146020,-228.34567260742188
148020,-101.93922424316406
150020,-122.10749053955078
152020,-303.6579895019531
154020,-194.97760009765625
156020,-124.29081726074219
158020,-191.90377807617188
160020,-172.09683227539062
162020,-100.69428253173828
164020,-148.21177673339844
166020,-124.17688751220703
168020,-211.8675537109375
170020,-149.2690887451172
172020,-96.35132598876953
174020,-147.75137329101562
176020,-165.25331115722656
178020,-201.1960906982422
180020,-178.37779235839844
182020,-200.83071899414062
184020,-144.12655639648438
186020,-147.3623046875
188020,-146.95993041992188
190020,-151.3291778564453
192020,-199.512939453125
194020,-123.83414459228516
196020,-143.57542419433594
198020,-188.07386779785156
200020,-194.17420959472656
202020,-97.46052551269531
204020,-144.11683654785156
206020,-121.76502227783203
208020,-121.3637924194336
210020,-154.36679077148438
212020,-143.96864318847656
214020,-189.2725067138672
216020,-98.73395538330078
218020,-148.65318298339844
220020,-119.86748504638672
222020,-121.1771469116211
224020,-144.69802856445312
226020,-172.01112365722656
228020,-127.00751495361328
230020,-145.0606231689453
232020,-196.75564575195312
234020,-180.16378784179688
236020,-145.30299377441406
238020,-119.7271499633789
240020,-148.26516723632812
242020,-156.05722045898438
244020,-187.03224182128906
246020,-99.39922332763672
248020,-210.50340270996094
