Step,Value
0,-1086.8284912109375
25600,-1139.199462890625
51200,-1285.3138427734375
76800,-1202.60791015625
102400,-1281.46923828125
128000,-1253.0484619140625
153600,-1482.8302001953125
179200,-1348.398193359375
204800,-1425.29638671875
230400,-1564.3531494140625
256000,-1519.4188232421875
281600,-1344.0469970703125
307200,-1338.099609375
332800,-1211.9642333984375
358400,-1242.321533203125
384000,-1453.0599365234375
409600,-1584.3773193359375
435200,-1390.4613037109375
460800,-1565.7237548828125
486400,-1366.557373046875
512000,-1245.0880126953125
537600,-1479.4716796875
563200,-1305.1617431640625
588800,-1381.989013671875
614400,-1422.14892578125
640000,-1558.9521484375
665600,-1423.6658935546875
691200,-1273.7950439453125
716800,-1328.78369140625
742400,-1255.0751953125
768000,-1417.02392578125
793600,-1257.92236328125
819200,-1146.4451904296875
844800,-1269.657470703125
870400,-1140.532958984375
896000,-1216.4632568359375
921600,-1164.63037109375
947200,-1102.189453125
972800,-1219.862060546875
998400,-1078.107421875
1024000,-1084.2791748046875
1049600,-1061.100341796875
1075200,-1014.1209106445312
1100800,-1070.060791015625
1126400,-1009.443603515625
1152000,-981.6239624023438
1177600,-947.07177734375
1203200,-970.6361694335938
1228800,-861.4946899414062
1254400,-854.9215698242188
1280000,-936.1312255859375
1305600,-904.2330932617188
1331200,-816.7350463867188
1356800,-743.9447631835938
1382400,-547.8673095703125
1408000,-485.6203308105469
1433600,-587.313232421875
1459200,-308.91485595703125
1484800,-362.03668212890625
1510400,-308.1036071777344
1536000,-475.99652099609375
1561600,-363.5107421875
1587200,-200.20758056640625
1612800,-247.41392517089844
1638400,-242.12313842773438
1664000,-257.3731994628906
1689600,-257.8509521484375
1715200,-272.1138000488281
1740800,-228.34567260742188
1766400,-101.93922424316406
1792000,-122.10749053955078
1817600,-303.6579895019531
1843200,-194.97760009765625
1868800,-124.29081726074219
1894400,-191.90377807617188
1920000,-172.09683227539062
1945600,-100.69428253173828
1971200,-148.21177673339844
1996800,-124.17688751220703
2022400,-211.8675537109375
2048000,-149.2690887451172
2073600,-96.35132598876953
2099200,-147.75137329101562
2124800,-165.25331115722656
2150400,-201.1960906982422
2176000,-178.37779235839844
2201600,-200.83071899414062
2227200,-144.12655639648438
2252800,-147.3623046875
2278400,-146.95993041992188
2304000,-151.3291778564453
2329600,-199.512939453125
2355200,-123.83414459228516
2380800,-143.57542419433594
2406400,-188.07386779785156
2432000,-194.17420959472656
2457600,-97.46052551269531
2483200,-144.11683654785156
2508800,-121.76502227783203
2534400,-121.3637924194336
2560000,-154.36679077148438
2585600,-143.96864318847656
2611200,-189.2725067138672
2636800,-98.73395538330078
2662400,-148.65318298339844
2688000,-119.86748504638672
2713600,-121.1771469116211
2739200,-144.69802856445312
2764800,-172.01112365722656
2790400,-127.00751495361328
2816000,-145.0606231689453
2841600,-196.75564575195312
2867200,-180.16378784179688
2892800,-145.30299377441406
2918400,-119.7271499633789
2944000,-148.26516723632812
2969600,-156.05722045898438
2995200,-187.03224182128906
3020800,-99.39922332763672
3046400,-210.50340270996094
