Step,Value
0,1.0056959390640259
100,1.4814471006393433
200,1.884727954864502
300,2.2603912353515625
400,2.5882644653320312
500,2.853501558303833
600,3.058631420135498
700,3.218106746673584
800,3.3399131298065186
900,3.4437358379364014
1000,3.532010793685913
1100,3.608060836791992
1200,3.6793317794799805
1300,3.7402193546295166
1400,3.7973244190216064
1500,3.8491885662078857
1600,3.898650884628296
1700,3.948880672454834
1800,3.9944918155670166
1900,4.037312984466553
2000,4.078196048736572
2100,4.11513614654541
2200,4.15034294128418
2300,4.180334091186523
2400,4.2098774909973145
2500,4.240773677825928
2600,4.27275276184082
2700,4.301997184753418
2800,4.328685283660889
2900,4.354397773742676
3000,4.377408981323242
3100,4.400274753570557
3200,4.426636695861816
3300,4.451475620269775
3400,4.472405910491943
3500,4.494070053100586
3600,4.517573833465576
3700,4.539385795593262
3800,4.558302879333496
3900,4.579227924346924
4000,4.597072601318359
4100,4.616475582122803
4200,4.637871265411377
4300,4.660304069519043
4400,4.681861400604248
4500,4.702996253967285
4600,4.724728584289551
4700,4.750527381896973
4800,4.775198936462402
4900,4.793609142303467
5000,4.816367149353027
5100,4.839138984680176
5200,4.861034870147705
5300,4.8846282958984375
5400,4.910961627960205
5500,4.939051628112793
5600,4.96754789352417
5700,5.000033378601074
5800,5.032354831695557
5900,5.068456172943115
6000,5.103870868682861
6100,5.1381659507751465
6200,5.175471782684326
6300,5.212718963623047
6400,5.250914573669434
6500,5.290632724761963
6600,5.3337860107421875
6700,5.378293514251709
6800,5.419731140136719
6900,5.468535900115967
7000,5.515162944793701
7100,5.566444396972656
7200,5.61705207824707
7300,5.667644500732422
7400,5.721111297607422
7500,5.76993465423584
7600,5.821816444396973
7700,5.879013538360596
7800,5.937153339385986
7900,5.994276523590088
8000,6.052497386932373
8100,6.115982532501221
8200,6.176620960235596
8300,6.2401533126831055
8400,6.308867454528809
8500,6.377505302429199
8600,6.44523811340332
8700,6.513174533843994
8800,6.582165241241455
8900,6.65191650390625
9000,6.721222400665283
9100,6.797114849090576
9200,6.873347759246826
9300,6.948622226715088
9400,7.023281574249268
9500,7.104681491851807
9600,7.184576988220215
9700,7.259069919586182
9800,7.3337202072143555
9900,7.412230014801025
10000,7.490783214569092
10100,7.578778266906738
10200,7.657449245452881
10300,7.743353366851807
10400,7.829842567443848
10500,7.925622940063477
10600,8.024898529052734
10700,8.11827564239502
10800,8.211450576782227
10900,8.302413940429688
11000,8.390026092529297
11100,8.476344108581543
11200,8.577113151550293
11300,8.66744613647461
11400,8.768693923950195
11500,8.867790222167969
11600,8.964500427246094
11700,9.05910587310791
11800,9.158042907714844
11900,9.258904457092285
