Step,Value
0,-0.001267267158254981
100,-2.216728687286377
200,-3.0730338096618652
300,-2.8052163124084473
400,-4.022218227386475
500,-4.216309547424316
600,-4.311411380767822
700,-4.561807632446289
800,-6.245573997497559
900,-6.168548107147217
1000,-7.519084930419922
1100,-7.736904621124268
1200,-9.4512357711792
1300,-8.932818412780762
1400,-10.435111999511719
1500,-10.007078170776367
1600,-11.753059387207031
1700,-12.667482376098633
1800,-12.931731224060059
1900,-14.052122116088867
2000,-16.758195877075195
2100,-15.221929550170898
2200,-17.76174545288086
2300,-17.40045738220215
2400,-19.67205810546875
2500,-20.63530921936035
2600,-21.61591339111328
2700,-21.259971618652344
2800,-22.797809600830078
2900,-24.049732208251953
3000,-25.66884994506836
3100,-26.35456657409668
3200,-27.326419830322266
3300,-27.288042068481445
3400,-29.657438278198242
3500,-28.346364974975586
3600,-32.558231353759766
3700,-30.214553833007812
3800,-30.632999420166016
3900,-32.928558349609375
4000,-32.28465270996094
4100,-33.095638275146484
4200,-36.79670333862305
4300,-36.17868423461914
4400,-40.16544723510742
4500,-37.18992233276367
4600,-35.66891098022461
4700,-40.00871276855469
4800,-39.92469787597656
4900,-37.840030670166016
5000,-39.314537048339844
5100,-41.97247314453125
5200,-42.02137756347656
5300,-42.57191467285156
5400,-44.73286056518555
5500,-41.4048957824707
5600,-41.41569519042969
5700,-42.35558319091797
5800,-43.47358322143555
5900,-43.462215423583984
6000,-44.36925506591797
6100,-44.44160842895508
6200,-44.59380340576172
6300,-47.50663757324219
6400,-44.11687088012695
6500,-45.51124954223633
6600,-44.35564422607422
6700,-47.48613739013672
6800,-45.7262077331543
6900,-43.604461669921875
7000,-43.913822174072266
7100,-45.727508544921875
7200,-44.27290344238281
7300,-48.65129852294922
7400,-43.60818862915039
7500,-47.853172302246094
7600,-49.35883331298828
7700,-41.82682800292969
7800,-44.27031707763672
7900,-45.232025146484375
8000,-43.25947570800781
8100,-40.464515686035156
8200,-42.02348327636719
8300,-45.765342712402344
8400,-42.17864227294922
8500,-45.482322692871094
8600,-40.55699920654297
8700,-40.78424835205078
8800,-40.78798294067383
8900,-36.756282806396484
9000,-41.290367126464844
9100,-48.54558563232422
9200,-46.74350357055664
9300,-42.820831298828125
9400,-40.07012939453125
9500,-45.43733596801758
9600,-31.49451446533203
9700,-43.60765075683594
9800,-41.76279067993164
9900,-41.00751495361328
10000,-44.624446868896484
10100,-39.85394287109375
10200,-44.81389617919922
10300,-29.939956665039062
10400,-31.326171875
10500,-32.82282638549805
10600,-39.55712890625
10700,-34.04425048828125
10800,-35.39167022705078
10900,-32.497379302978516
11000,-33.61686325073242
11100,-34.10884094238281
11200,-26.689186096191406
11300,-41.277252197265625
11400,-28.041566848754883
11500,-31.629127502441406
11600,-34.672027587890625
11700,-28.060897827148438
11800,-30.888294219970703
11900,-23.313369750976562
