Step,Value
0,0.6935602426528931
100,1.891064167022705
200,1.5330514907836914
300,1.3368113040924072
400,1.2941983938217163
500,1.2645576000213623
600,1.268003225326538
700,1.2738144397735596
800,1.35081148147583
900,1.3159902095794678
1000,1.3748735189437866
1100,1.371178150177002
1200,1.3664312362670898
1300,1.2802238464355469
1400,1.3917133808135986
1500,1.2983933687210083
1600,1.4305181503295898
1700,1.4322454929351807
1800,1.418478012084961
1900,1.4890358448028564
2000,1.4830381870269775
2100,1.450706958770752
2200,1.4423247575759888
2300,1.4329142570495605
2400,1.418896198272705
2500,1.4767310619354248
2600,1.4909231662750244
2700,1.4465409517288208
2800,1.4542921781539917
2900,1.5473672151565552
3000,1.5883712768554688
3100,1.5579533576965332
3200,1.5507140159606934
3300,1.5447783470153809
3400,1.5291168689727783
3500,1.5677664279937744
3600,1.5637098550796509
3700,1.5898958444595337
3800,1.5312871932983398
3900,1.6575016975402832
4000,1.510155200958252
4100,1.6739706993103027
4200,1.527084231376648
4300,1.5579767227172852
4400,1.5944697856903076
4500,1.5708019733428955
4600,1.6859374046325684
4700,1.641209602355957
4800,1.649043321609497
4900,1.602603793144226
5000,1.6008765697479248
5100,1.6697473526000977
5200,1.6882377862930298
5300,1.6683944463729858
5400,1.6515358686447144
5500,1.7620633840560913
5600,1.6335535049438477
5700,1.7425047159194946
5800,1.7274013757705688
5900,1.6730092763900757
6000,1.8351246118545532
6100,1.7617765665054321
6200,1.839425802230835
6300,1.8465428352355957
6400,1.8073312044143677
6500,1.7836979627609253
6600,1.885284423828125
6700,1.826753854751587
6800,1.9203925132751465
6900,1.9239087104797363
7000,2.0294361114501953
7100,1.924133539199829
7200,1.962720513343811
7300,1.9770710468292236
7400,2.014723777770996
7500,1.9557979106903076
7600,1.892012596130371
7700,2.075957775115967
7800,2.168370485305786
7900,2.132528781890869
8000,2.0832717418670654
8100,2.1397504806518555
8200,2.230592727661133
8300,2.123757839202881
8400,2.198636531829834
8500,2.1782636642456055
8600,2.2291557788848877
8700,2.2348415851593018
8800,2.2338743209838867
8900,2.3178813457489014
9000,2.445885419845581
9100,2.3567068576812744
9200,2.3792338371276855
9300,2.4623398780822754
9400,2.496692657470703
9500,2.457775115966797
9600,2.535038948059082
9700,2.5539908409118652
9800,2.5397729873657227
9900,2.5891849994659424
10000,2.536219596862793
10100,2.587644338607788
10200,2.6402170658111572
10300,2.7901716232299805
10400,2.8083438873291016
10500,2.8022656440734863
10600,2.8562753200531006
10700,2.959057092666626
10800,2.8069427013397217
10900,2.8549485206604004
11000,2.8865180015563965
11100,2.9791557788848877
11200,2.94806170463562
11300,2.970335006713867
11400,3.117971420288086
11500,3.2090516090393066
11600,3.189547538757324
11700,3.261967182159424
11800,3.2396509647369385
11900,3.2879176139831543
