Step,Value
0,-1300.1719970703125
100,-1036.876953125
200,-1249.8626708984375
300,-1157.046875
400,-1226.479248046875
500,-1108.049560546875
600,-1331.4686279296875
700,-1275.2603759765625
800,-1392.520751953125
900,-1368.76806640625
1000,-1283.788818359375
1100,-1427.832275390625
1200,-1440.181640625
1300,-1488.6485595703125
1400,-1387.5279541015625
1500,-1272.7276611328125
1600,-1399.388427734375
1700,-1434.4915771484375
1800,-1468.7303466796875
1900,-1451.977294921875
2000,-1267.48779296875
2100,-1474.7586669921875
2200,-1450.9857177734375
2300,-1471.8642578125
2400,-1496.9102783203125
2500,-1379.1890869140625
2600,-1289.386962890625
2700,-1432.3173828125
2800,-1343.6339111328125
2900,-1441.5726318359375
3000,-1289.3731689453125
3100,-1341.8436279296875
3200,-1193.1044921875
3300,-1192.2376708984375
3400,-1151.7117919921875
3500,-1180.717529296875
3600,-1060.920654296875
3700,-1132.531494140625
3800,-1068.8369140625
3900,-1022.2991333007812
4000,-1075.1004638671875
4100,-1053.88671875
4200,-999.4696655273438
4300,-1045.20361328125
4400,-964.59130859375
4500,-1036.529541015625
4600,-1005.601318359375
4700,-867.96728515625
4800,-666.5006103515625
4900,-875.5947265625
5000,-779.2906494140625
5100,-699.7469482421875
5200,-713.719970703125
5300,-707.3994140625
5400,-761.1692504882812
5500,-455.6609802246094
5600,-493.612060546875
5700,-531.0717163085938
5800,-300.1227722167969
5900,-340.48968505859375
6000,-248.96974182128906
6100,-228.38710021972656
6200,-370.3546142578125
6300,-202.52940368652344
6400,-249.70877075195312
6500,-151.3833770751953
6600,-197.5736541748047
6700,-157.70941162109375
6800,-128.0232696533203
6900,-123.97442626953125
7000,-287.6546936035156
7100,-256.68878173828125
7200,-211.9721221923828
7300,-123.65215301513672
7400,-243.44276428222656
7500,-205.2017059326172
7600,-146.365478515625
7700,-126.077880859375
7800,-193.46234130859375
7900,-194.54269409179688
8000,-193.434814453125
8100,-173.6561737060547
8200,-99.10035705566406
8300,-117.46815490722656
8400,-174.8988800048828
8500,-197.73216247558594
8600,-208.4263153076172
8700,-123.7829818725586
8800,-193.17539978027344
8900,-215.15805053710938
9000,-151.2073211669922
9100,-187.89248657226562
9200,-198.09901428222656
9300,-168.18162536621094
9400,-143.2274932861328
9500,-146.44850158691406
9600,-146.40089416503906
9700,-187.40524291992188
9800,-242.76971435546875
9900,-171.80987548828125
10000,-169.97964477539062
10100,-217.46766662597656
10200,-156.3204803466797
10300,-157.33453369140625
10400,-98.55957794189453
10500,-148.4962158203125
10600,-122.40054321289062
10700,-177.20516967773438
10800,-167.6876983642578
10900,-240.2627410888672
11000,-121.60895538330078
11100,-121.46044921875
11200,-144.35049438476562
11300,-74.00125122070312
11400,-143.41610717773438
11500,-96.98096466064453
11600,-194.0401153564453
11700,-144.1240692138672
11800,-48.8408317565918
11900,-140.5286102294922
