Step,Value
0,-1300.1719970703125
3,-1036.876953125
6,-1249.8626708984375
9,-1157.046875
12,-1226.479248046875
15,-1108.049560546875
18,-1331.4686279296875
20,-1275.2603759765625
23,-1392.520751953125
26,-1368.76806640625
29,-1283.788818359375
32,-1427.832275390625
35,-1440.181640625
38,-1488.6485595703125
41,-1387.5279541015625
44,-1272.7276611328125
47,-1399.388427734375
49,-1434.4915771484375
52,-1468.7303466796875
55,-1451.977294921875
58,-1267.48779296875
61,-1474.7586669921875
63,-1450.9857177734375
66,-1471.8642578125
69,-1496.9102783203125
72,-1379.1890869140625
75,-1289.386962890625
77,-1432.3173828125
80,-1343.6339111328125
83,-1441.5726318359375
86,-1289.3731689453125
89,-1341.8436279296875
92,-1193.1044921875
94,-1192.2376708984375
97,-1151.7117919921875
100,-1180.717529296875
103,-1060.920654296875
106,-1132.531494140625
108,-1068.8369140625
111,-1022.2991333007812
114,-1075.1004638671875
117,-1053.88671875
120,-999.4696655273438
122,-1045.20361328125
125,-964.59130859375
128,-1036.529541015625
131,-1005.601318359375
134,-867.96728515625
137,-666.5006103515625
139,-875.5947265625
142,-779.2906494140625
145,-699.7469482421875
148,-713.719970703125
151,-707.3994140625
153,-761.1692504882812
156,-455.6609802246094
159,-493.612060546875
162,-531.0717163085938
165,-300.1227722167969
167,-340.48968505859375
170,-248.96974182128906
173,-228.38710021972656
176,-370.3546142578125
179,-202.52940368652344
181,-249.70877075195312
184,-151.3833770751953
187,-197.5736541748047
190,-157.70941162109375
193,-128.0232696533203
195,-123.97442626953125
198,-287.6546936035156
201,-256.68878173828125
204,-211.9721221923828
207,-123.65215301513672
209,-243.44276428222656
212,-205.2017059326172
215,-146.365478515625
218,-126.077880859375
221,-193.46234130859375
223,-194.54269409179688
226,-193.434814453125
229,-173.6561737060547
232,-99.10035705566406
235,-117.46815490722656
238,-174.8988800048828
242,-197.73216247558594
244,-208.4263153076172
247,-123.7829818725586
250,-193.17539978027344
253,-215.15805053710938
256,-151.2073211669922
258,-187.89248657226562
261,-198.09901428222656
264,-168.18162536621094
267,-143.2274932861328
270,-146.44850158691406
273,-146.40089416503906
276,-187.40524291992188
279,-242.76971435546875
282,-171.80987548828125
285,-169.97964477539062
287,-217.46766662597656
290,-156.3204803466797
293,-157.33453369140625
296,-98.55957794189453
299,-148.4962158203125
302,-122.40054321289062
305,-177.20516967773438
308,-167.6876983642578
311,-240.2627410888672
314,-121.60895538330078
317,-121.46044921875
320,-144.35049438476562
323,-74.00125122070312
325,-143.41610717773438
328,-96.98096466064453
331,-194.0401153564453
334,-144.1240692138672
337,-48.8408317565918
340,-140.5286102294922
