Step,Value
10020,-1300.1719970703125
12020,-1036.876953125
14020,-1249.8626708984375
16020,-1157.046875
18020,-1226.479248046875
20020,-1108.049560546875
22020,-1331.4686279296875
24020,-1275.2603759765625
26020,-1392.520751953125
28020,-1368.76806640625
30020,-1283.788818359375
32020,-1427.832275390625
34020,-1440.181640625
36020,-1488.6485595703125
38020,-1387.5279541015625
40020,-1272.7276611328125
42020,-1399.388427734375
44020,-1434.4915771484375
46020,-1468.7303466796875
48020,-1451.977294921875
50020,-1267.48779296875
52020,-1474.7586669921875
54020,-1450.9857177734375
56020,-1471.8642578125
58020,-1496.9102783203125
60020,-1379.1890869140625
62020,-1289.386962890625
64020,-1432.3173828125
66020,-1343.6339111328125
68020,-1441.5726318359375
70020,-1289.3731689453125
72020,-1341.8436279296875
74020,-1193.1044921875
76020,-1192.2376708984375
78020,-1151.7117919921875
80020,-1180.717529296875
82020,-1060.920654296875
84020,-1132.531494140625
86020,-1068.8369140625
88020,-1022.2991333007812
90020,-1075.1004638671875
92020,-1053.88671875
94020,-999.4696655273438
96020,-1045.20361328125
98020,-964.59130859375
100020,-1036.529541015625
102020,-1005.601318359375
104020,-867.96728515625
106020,-666.5006103515625
108020,-875.5947265625
110020,-779.2906494140625
112020,-699.7469482421875
114020,-713.719970703125
116020,-707.3994140625
118020,-761.1692504882812
120020,-455.6609802246094
122020,-493.612060546875
124020,-531.0717163085938
126020,-300.1227722167969
128020,-340.48968505859375
130020,-248.96974182128906
132020,-228.38710021972656
134020,-370.3546142578125
136020,-202.52940368652344
138020,-249.70877075195312
140020,-151.3833770751953
142020,-197.5736541748047
144020,-157.70941162109375
146020,-128.0232696533203
148020,-123.97442626953125
150020,-287.6546936035156
152020,-256.68878173828125
154020,-211.9721221923828
156020,-123.65215301513672
158020,-243.44276428222656
160020,-205.2017059326172
162020,-146.365478515625
164020,-126.077880859375
166020,-193.46234130859375
168020,-194.54269409179688
170020,-193.434814453125
172020,-173.6561737060547
174020,-99.10035705566406
176020,-117.46815490722656
178020,-174.8988800048828
180020,-197.73216247558594
182020,-208.4263153076172
184020,-123.7829818725586
186020,-193.17539978027344
188020,-215.15805053710938
190020,-151.2073211669922
192020,-187.89248657226562
194020,-198.09901428222656
196020,-168.18162536621094
198020,-143.2274932861328
200020,-146.44850158691406
202020,-146.40089416503906
204020,-187.40524291992188
206020,-242.76971435546875
208020,-171.80987548828125
210020,-169.97964477539062
212020,-217.46766662597656
214020,-156.3204803466797
216020,-157.33453369140625
218020,-98.55957794189453
220020,-148.4962158203125
222020,-122.40054321289062
224020,-177.20516967773438
226020,-167.6876983642578
228020,-240.2627410888672
230020,-121.60895538330078
232020,-121.46044921875
234020,-144.35049438476562
236020,-74.00125122070312
238020,-143.41610717773438
240020,-96.98096466064453
242020,-194.0401153564453
244020,-144.1240692138672
246020,-48.8408317565918
248020,-140.5286102294922
