Step,Value
0,-1300.1719970703125
25600,-1036.876953125
51200,-1249.8626708984375
76800,-1157.046875
102400,-1226.479248046875
128000,-1108.049560546875
153600,-1331.4686279296875
179200,-1275.2603759765625
204800,-1392.520751953125
230400,-1368.76806640625
256000,-1283.788818359375
281600,-1427.832275390625
307200,-1440.181640625
332800,-1488.6485595703125
358400,-1387.5279541015625
384000,-1272.7276611328125
409600,-1399.388427734375
435200,-1434.4915771484375
460800,-1468.7303466796875
486400,-1451.977294921875
512000,-1267.48779296875
537600,-1474.7586669921875
563200,-1450.9857177734375
588800,-1471.8642578125
614400,-1496.9102783203125
640000,-1379.1890869140625
665600,-1289.386962890625
691200,-1432.3173828125
716800,-1343.6339111328125
742400,-1441.5726318359375
768000,-1289.3731689453125
793600,-1341.8436279296875
819200,-1193.1044921875
844800,-1192.2376708984375
870400,-1151.7117919921875
896000,-1180.717529296875
921600,-1060.920654296875
947200,-1132.531494140625
972800,-1068.8369140625
998400,-1022.2991333007812
1024000,-1075.1004638671875
1049600,-1053.88671875
1075200,-999.4696655273438
1100800,-1045.20361328125
1126400,-964.59130859375
1152000,-1036.529541015625
1177600,-1005.601318359375
1203200,-867.96728515625
1228800,-666.5006103515625
1254400,-875.5947265625
1280000,-779.2906494140625
1305600,-699.7469482421875
1331200,-713.719970703125
1356800,-707.3994140625
1382400,-761.1692504882812
1408000,-455.6609802246094
1433600,-493.612060546875
1459200,-531.0717163085938
1484800,-300.1227722167969
1510400,-340.48968505859375
1536000,-248.96974182128906
1561600,-228.38710021972656
1587200,-370.3546142578125
1612800,-202.52940368652344
1638400,-249.70877075195312
1664000,-151.3833770751953
1689600,-197.5736541748047
1715200,-157.70941162109375
1740800,-128.0232696533203
1766400,-123.97442626953125
1792000,-287.6546936035156
1817600,-256.68878173828125
1843200,-211.9721221923828
1868800,-123.65215301513672
1894400,-243.44276428222656
1920000,-205.2017059326172
1945600,-146.365478515625
1971200,-126.077880859375
1996800,-193.46234130859375
2022400,-194.54269409179688
2048000,-193.434814453125
2073600,-173.6561737060547
2099200,-99.10035705566406
2124800,-117.46815490722656
2150400,-174.8988800048828
2176000,-197.73216247558594
2201600,-208.4263153076172
2227200,-123.7829818725586
2252800,-193.17539978027344
2278400,-215.15805053710938
2304000,-151.2073211669922
2329600,-187.89248657226562
2355200,-198.09901428222656
2380800,-168.18162536621094
2406400,-143.2274932861328
2432000,-146.44850158691406
2457600,-146.40089416503906
2483200,-187.40524291992188
2508800,-242.76971435546875
2534400,-171.80987548828125
2560000,-169.97964477539062
2585600,-217.46766662597656
2611200,-156.3204803466797
2636800,-157.33453369140625
2662400,-98.55957794189453
2688000,-148.4962158203125
2713600,-122.40054321289062
2739200,-177.20516967773438
2764800,-167.6876983642578
2790400,-240.2627410888672
2816000,-121.60895538330078
2841600,-121.46044921875
2867200,-144.35049438476562
2892800,-74.00125122070312
2918400,-143.41610717773438
2944000,-96.98096466064453
2969600,-194.0401153564453
2995200,-144.1240692138672
3020800,-48.8408317565918
3046400,-140.5286102294922
